Identifiant Museofile;Region administrative;Commune;Nom officiel du musee;Adresse;URL;Latitude;Longitude
M0607;Occitanie;Montauban;musee Ingres Bourdelle;19, rue de l'Hotel de Ville BP 752;www.montauban.com/culture-et-sports/culture/musee-ingres-bourdelle;44,017091;1,35188
M7046;Occitanie;Montauban;musee d'histoire naturelle Victor-Brun;2 place Antoine Bourdelle;www.museum.montauban.com/Accueil-1.html;44,017099;1,351385
M0738;Pays-de-la-Loire;Blain;musee des arts et traditions populaires;2 place Jean Guihard;museedeblain.wordpress.com/;47,475727;-1,764575
M0743;Pays-de-la-Loire;Nantes;musees des beaux-arts;10 rue Georges Clemenceau;museedartsdenantes.nantesmetropole.fr/home.html;47,219276;-1,547096
M0746;Pays-de-la-Loire;Saint-Joachim;musees du parc naturel regional de Briere;177 ile-de-Fedrun;www.parc-naturel-briere.com/;47,373699;-2,21367
M0742;Pays-de-la-Loire;Le Pallet;musee du vignoble nantais;82 rue Pierre Abelard;www.musee-vignoble-nantais.eu/accueil/;47,134414;-1,329883
M0741;Pays-de-la-Loire;Guerande;musee de la porte Saint-Michel;7, place du Marche-au-Bois;www.ville-guerande.fr/pratique-vos-demarches/tourisme-et-decouvertes/visiter-la-cite-medievale/les-remparts-et-la-porte-saint-michel;47,32782055;-2,426347759
M0744;Pays-de-la-Loire;Nantes;musee du chateau des ducs de Bretagne;4 place Marc Elder;www.chateaunantes.fr/;47,216353;-1,549389
M0745;Pays-de-la-Loire;Nantes;musee Dobree;Departement de Loire-Atlantique, Grand-Patrimoine de Loire-Atlantique;grand-patrimoine.loire-atlantique.fr/jcms/navigation/les-sites-a-visiter/musee-dobree-a-nantes/musee-dobree-a-nantes-fr-p2_190870;47,211788;-1,566123
M0747;Pays-de-la-Loire;Saint-Nazaire;ecomusee;avenue de Saint-Hubert;www.saint-nazaire-tourisme.com/les-visites/les-sites-de-visite/ecomusee/;47,273813;-2,198174
M0740;Pays-de-la-Loire;Chateaubriant;musee municipal;Hotel de Ville, BP 189;;47,72100905;-1,37586481
M1124;Pays-de-la-Loire;Batz-sur-Mer;musee des Marais salants;29bis, rue Pasteur;www.museedesmaraissalants.fr/accueil;47,278542;-2,478054
M7049;Pays-de-la-Loire;Nantes;museum d'histoire naturelle;12 rue Voltaire;museum.nantesmetropole.fr/;47,212385;-1,564652
M0739;Pays-de-la-Loire;Bourgneuf-en-Retz;musee du pays de Retz;6 rue des Moines;museedupaysderetz.fr/;47,042318;-1,952164
M0749;Pays-de-la-Loire;Angers;musee Pince;32 bis rue Lenepveu;musees.angers.fr/les-lieux/musee-pince/index.html;47,471767;-0,551841
M0753;Pays-de-la-Loire;Beaufort-en-Vallee;musee Joseph Denais;Place Notre-Dame, Beaufort-en-Vallee;3museesinsolitesenanjou.com/musee-joseph-denais/;47,44022;-0,217749
M7017;Pays-de-la-Loire;Angers;museum des sciences naturelles;43 rue Jules Guitton;www.angers.fr/vivre-a-angers/culture/culture-scientifique/museum-des-sciences-naturelles/le-museum-des-sciences-naturelles/index.html;47,473467;-0,546399
M0752;Pays-de-la-Loire;Bauge;musee d'art et d'histoire;Place de l'Europe;3museesinsolitesenanjou.com/musee-dart-et-dhistoire/;47,531598;-0,119966
M0760;Pays-de-la-Loire;Trelaze;musee de l'ardoise;32 chemin de La Maraichere;www.lemuseedelardoise.fr;47,450792;-0,491518
M1092;Pays-de-la-Loire;Parçay-les-Pins;musee Jules-Desbois;1 place Jules-Desbois, Parçat-les-Pins;3museesinsolitesenanjou.com/musee-jules-desbois/;47,436646;0,159508
M0754;Pays-de-la-Loire;Cholet;musee d'art et d'histoire;27 avenue de l'Abreuvoir;www.cholet.fr/chaines/dossier_55_le+musee+art+histoire.html;47,058385;-0,882284
M0756;Pays-de-la-Loire;Cholet;musee du textile;rue du Docteur Roux;www.cholet.fr/chaines/dossier_56_le+musee+textile.html;47,069473;-0,897677
M0759;Pays-de-la-Loire;Saumur;chateau-musee de Saumur;Rue Moliere;www.chateau-saumur.fr;47,25728921;-0,071917504
M1211;Pays-de-la-Loire;Fontevraud;musee d'art moderne de Fontevraud - collection Martine et Leon Cligman;;www.fontevraud.fr/musee-dart-moderne/decouvrir/;47.18198;0.05295
M0748;Pays-de-la-Loire;Angers;musee des beaux-arts et galerie David-d'Angers;14 rue du musee, 33 bis rue Toussaint;musees.angers.fr/accueil/index.html;47,469659;-0,555485
M0751;Pays-de-la-Loire;Angers;musee Jean Lurcat et de la tapisserie contemporaine;4 boulevard Arago;musees.angers.fr/les-lieux/musee-jean-lurcat-et-de-la-tapisserie-contemporaine/le-lieu/index.html;47,477759;-0,557052
M0758;Pays-de-la-Loire;Saint-Lambert-du-Lattay;musee de la vigne et du vin d'Anjou;Place des Vignerons;www.musee-vigne-vin-anjou.fr/;47,305499;-0,635024
M0762;Pays-de-la-Loire;Chateau-Gontier;musee d'art et d'archeologie;rue Jean Bourre;patrimoine.chateaugontier.fr/;47,82914895;-0,703943606
M0767;Pays-de-la-Loire;Mayenne;musee du chateau;Place Juhel;www.museeduchateaudemayenne.fr/;48,302519;-0,620269
M0765;Pays-de-la-Loire;Jublains;musee archeologique departemental;13 rue de la Liberation;museedejublains.fr/;48,255526;-0,496863
M0761;Pays-de-la-Loire;Ambrieres-les-Vallees;musee des tisserands mayennais;place Billard-de-Vaux;www.ambriereslesvallees.mairie53.fr/musee-des-tisserands;48,402909;-0,630644
M0763;Pays-de-la-Loire;Cosse-le-Vivien;musee Robert Tatin;La Frênouse;www.musee-robert-tatin.fr/;47,942514;-0,906893
M0768;Pays-de-la-Loire;Renaze;musee de l'ardoise;;renaze53.fr/decouvrir/musee-de-lardoise/;47,792697;-1,059417
M0764;Pays-de-la-Loire;Ernee;musee municipal;;;48,296148;-0,933518
M0766;Pays-de-la-Loire;Laval;musee du vieux chateau;Place de La Tremoille;musees.laval.fr/;48,068652;-0,77221
M7041;Pays-de-la-Loire;Laval;musee des sciences;Place de Herce;www.laval.fr/decouvrir-sortir/musees-lieux-dexposition/musee-des-sciences;48,06597;-0,772148
M0770;Pays-de-la-Loire;Le Mans;musee de Tesse;2, avenue de Paderborn;www.lemans.fr/dynamique/des-idees-de-visite/les-musees/le-musee-de-tesse/;48,01112;0,203755
M0771;Pays-de-la-Loire;Le Mans;musee de la reine Berengere;9-13 rue de la Reine Berengere;www.lemans.fr/dynamique/des-idees-de-visite/les-musees/le-musee-de-la-reine-berengere/;48,008953;0,1977
M1172;Pays-de-la-Loire;Malicorne;musee espace faïence de Malicorne;Rue Victor Hugo;musee-faience.fr/;47,813698;-0,083896
M0769;Pays-de-la-Loire;Chateau-du-Loir;musee municipal;Mairie;;47,693176;0,417263
M1192;Pays-de-la-Loire;Le Mans;musee vert Veron-de-Forbonnais;204 avenue Jean Jaures;www.lemans.fr/dynamique/des-idees-de-visite/les-musees/le-musee-vert/;47,986868;0,208417
M1131;Pays-de-la-Loire;Saint-Calais;bibliotheque-musee;Place de l'hotel de ville;www.saint-calais.fr/musee-bibliotheque-fonds-ancien-et-cabinets-curieux/;47,920368;0,743518
M0774;Pays-de-la-Loire;La Barre-de-Monts;centre de decouverte du marais breton;Lieu dit «Le Daviaud»;www.ledaviaud.fr/;46,874377;-2,102492
M0775;Pays-de-la-Loire;La Gueriniere;musee des traditions;;la-gueriniere.fr/culture-loisirs/culture/musee-des-traditions-de-l-ile-de-noirmoutier/;46,966649;-2,231792
M7039;Pays-de-la-Loire;La Chaize-le-Vicomte;musee ornithologique Charles-Payraudeau;Mairie;www.lachaizelevicomte.fr/fr/information/86896/musee-ornithologique-charles-payraudeau;46,671824;-1,292607
M0772;Pays-de-la-Loire;Faymoreau-les-Mines;centre minier;La cour;www.centreminier-vendee.fr/;46,55525;-0,630566
M0782;Pays-de-la-Loire;Noirmoutier-en-l'ile;musee du chateau;Place d'armes;www.ville-noirmoutier.fr/le-chateau/;46,999718;-2,243127
M1121;Pays-de-la-Loire;Les Lucs-Sur-Boulogne;Historial de la Vendee;Allee Paul Bazin;www.sitesculturels.vendee.fr/Historial-de-Vendee;46,859966;-1,492724
M0779;Pays-de-la-Loire;Montaigu;musee du nord Vendee;Place de l'Hotel de Ville;;46,974635;-1,313386
M0783;Pays-de-la-Loire;Soullans;musee Milcendeau-Jean Yole;84 chemin du Bois-Durand;www.musee-milcendeau.fr/Le-musee;46,77769;-1,909718
M5049;Pays-de-la-Loire;Mouilleron-en-Pareds;musee Clemenceau et de Lattre de Tassigny;18 rue du Temple (Maison natale de Clemenceau);musee-clemenceau-delattre.fr/;46,675283;-0,849535
M0773;Pays-de-la-Loire;Fontenay-le-Comte;musee de Fontenay-le-Comte;Place du 137e Regiment d'Infanterie;www.fontenay-le-comte.fr/musee-fontenay;46,46746223;-0,806809739
M0776;Pays-de-la-Loire;La Roche-sur-Yon;musee municipal;10 rue Salvador Allende;www.larochesuryon.fr/musee/;46,669265;-1,428828
M1132;Pays-de-la-Loire;Saint-Hilaire-de-Riez;musee La Bourrine du Bois-Juquaud;4 chemin du Bois Juquaud;www.sainthilairederiez.fr/la-bourrine-du-bois-juquaud/;46,757962;-1,953276
M0778;Pays-de-la-Loire;Les Sables d'Olonne;musee de l'abbaye Sainte-Croix;Rue de Verdun;www.lemasc.fr;46,497474;-1,777309
M0781;Pays-de-la-Loire;Noirmoutier-en-l'ile;musee de la construction navale artisanale;Rue de l'Ecluse;;46,99903;-2,245756
M0859;Provence-Alpes-Cote-d'Azur;Mane;musee de Salagon;Route nationale;www.musee-de-salagon.com/accueil.html;43,93798;5,76727
M0861;Provence-Alpes-Cote-d'Azur;Quinson;musee departemental de prehistoire;Route de Montmeyan;www.museeprehistoire.com/accueil.html;43,709854;6,040734
M0862;Provence-Alpes-Cote-d'Azur;Riez-la-Romaine;musee archeologique;Route de Marseille;www.musees-mediterranee.org/portail/index.php?menu=1&num_musee=109;43,815415;6,08717
M0856;Provence-Alpes-Cote-d'Azur;Barcelonnette;musee de la vallee;10, avenue de la Liberation;www.museedelavallee.fr/;44,387609;6,655077
M0857;Provence-Alpes-Cote-d'Azur;Digne-les-Bains;musee Gassendi;64 boulevard Gassendi;www.musee-gassendi.org/fr/accueil/;44,092652;6,235077
M0864;Provence-Alpes-Cote-d'Azur;Reillane (Vacheres);musee archeologique;Ecole publique;www.mairie-vacheres.fr/fr/musee;43,93598226;5,654370036
M0858;Provence-Alpes-Cote-d'Azur;Forcalquier;musee municipal;1 place du Bourguet;www.ville-forcalquier.fr/oidit_T003_52r485s49ng2.html;43,96244494;5,774406172
M0860;Provence-Alpes-Cote-d'Azur;Moustiers-Sainte-Marie;musee de la faïence;;www.moustiers.fr/fr/musee-faience;43,846892;6,220175
M0863;Provence-Alpes-Cote-d'Azur;Sisteron;musee gallo-romain Sisteron;8 rue saunerie;www.sisteron.com/mes-loisirs/culture-patrimoine/equipements-culturels/musees-expositions;44,197595;5,944839
M0867;Provence-Alpes-Cote-d'Azur;Antibes;musee Picasso;Place Mariejol;www.antibes-juanlespins.com/culture/musee-picasso;43,580973;7,127959
M0879;Provence-Alpes-Cote-d'Azur;Menton;musee Jean Cocteau;Quai Napoleon III;www.museecocteaumenton.fr/;43,774945;7,508676
M0881;Provence-Alpes-Cote-d'Azur;Nice;musee Massena;65 rue de France;www.nice.fr/fr/culture/musees-et-galeries/musee-massena-le-musee;43,695672;7,259251
M0883;Provence-Alpes-Cote-d'Azur;Nice;musee archeologique de Cimiez;160 avenue des Arenes Cimiez;www.nice.fr/fr/culture/musees-et-galeries/presentation-du-musee-archeologique-de-cimiez;43,719221;7,275115
M0885;Provence-Alpes-Cote-d'Azur;Nice;musee de paleontologie de Terra Amata;25 boulevard Carnot;www.nice.fr/fr/culture/musees-et-galeries/presentation-du-musee-terra-amata;43,698046;7,288686
M0889;Provence-Alpes-Cote-d'Azur;Nice;musee departemental des arts asiatiques;405 promenade des Anglais;maa.departement06.fr/musee-des-arts-asiatiques-13422.html;43,678077;7,215461
M0893;Provence-Alpes-Cote-d'Azur;Villefranche-sur-Mer;musee d'art et d'histoire;La Citadelle;villefranche-sur-mer.fr/musees/;43,701093;7,311425
M5028;Provence-Alpes-Cote-d'Azur;Biot;musee national Fernand Leger;Chemin du Val-de-Pome;musees-nationaux-alpesmaritimes.fr/fleger/;43,620705;7,112317
M5047;Provence-Alpes-Cote-d'Azur;Vallauris;musee national de Vallauris (la Guerre et la Paix de Picasso);Place de la Liberation;musees-nationaux-alpesmaritimes.fr/picasso/;43,579971;7,052887
M7050;Provence-Alpes-Cote-d'Azur;Nice;museum d'histoire naturelle;60 boulevard Risso;www.mhnnice.org/;43,701924;7,279572
M0873;Provence-Alpes-Cote-d'Azur;Cannes (ile Sainte-Marguerite);musee de la mer;Ile Sainte-Marguerite;www.cannes.com/fr/culture/musees-et-expositions/musee-du-masque-de-fer-et-du-fort-royal/a-voir-au-musee.html;43,520419;7,044228
M0875;Provence-Alpes-Cote-d'Azur;Grasse;musee d'art et d'histoire de Provence;2 rue Mirabeau;www.museesdegrasse.com/mahp/presentation;43,657615;6,922508
